date,mktrf,smb,hml,rmw,cma,rf,umd,r_f,r_mkt,r_me,r_ia,r_roe,r_eg
2013/02/17,-0.0011,0.0002,-0.0009,-0.0003,0.0016,0.0,0.0041,0.0003,-0.2006,-0.0186,0.3698,0.3062,0.0643
2013/02/24,0.0094,0.0021,-0.0004,-0.0016,-0.0009,0.0,0.0024,0.0003,0.868,0.2286,-0.115,-0.3087,-0.1488
2013/03/03,0.0022,0.0013,-0.003,-0.0011,-0.0002,0.0,0.0097,0.0002,0.1767,0.1457,-0.0239,0.2842,0.0418
2013/03/10,0.0052,0.0038,-0.0016,0.0,-0.0001,0.0,-0.0002,0.0002,0.4896,0.425,0.0747,-0.1457,-0.4731
2013/03/17,-0.0019,0.0012,0.0039,0.002,0.0003,0.0,-0.0059,0.0002,-0.1524,0.2134,-0.1303,0.1049,-0.1774
2013/03/24,0.0062,-0.0048,-0.0025,0.0015,-0.001,0.0,0.0017,0.0002,0.5843,-0.517,-0.0495,0.0193,0.2477
2013/03/31,0.0039,-0.0031,-0.0027,-0.0016,0.0005,0.0,0.0049,0.0002,0.4038,-0.3533,-0.0101,-0.0089,0.2309
2013/04/07,-0.0041,0.0008,0.0031,-0.001,0.0027,0.0,0.0015,0.0002,-0.3522,-0.032,0.0309,-0.4256,-0.4635
2013/04/14,-0.0028,-0.0015,-0.0045,0.0,0.0002,0.0,0.0023,0.0002,-0.3773,-0.236,0.1436,0.3537,0.1642
2013/04/21,0.0097,0.0008,0.001,-0.0033,0.002,0.0,0.0125,0.0002,0.936,0.1199,0.1642,0.007,-0.4533
2013/04/28,-0.002,-0.0037,-0.0024,0.0008,0.0014,0.0,-0.0006,0.0002,-0.2475,-0.4014,0.2748,0.129,-0.1802
2013/05/05,0.0112,0.006,0.0018,-0.0021,-0.0027,0.0,-0.0036,0.0001,1.0386,0.6727,-0.3178,-0.4009,-0.5339
2013/05/12,0.0054,0.004,-0.0018,-0.003,-0.0001,0.0,0.0016,0.0001,0.4661,0.4143,-0.1418,-0.2449,-0.1028
2013/05/19,0.0104,0.0007,0.0031,0.0009,-0.0014,0.0,-0.0008,0.0001,0.94,0.2673,-0.2739,-0.1166,-0.3343
2013/05/26,-0.0006,0.0016,0.0007,-0.0007,0.0001,0.0,0.0015,0.0001,-0.1022,0.3046,0.15,0.2103,0.0489
2013/06/02,-0.0131,0.0049,-0.0026,0.002,-0.0014,0.0,-0.0024,0.0001,-1.357,0.3458,-0.1639,-0.0578,0.0473
2013/06/09,0.013,-0.0044,0.0006,-0.0028,-0.0004,0.0,0.0054,0.0001,1.1376,-0.3655,-0.1284,0.005,-0.1094
2013/06/16,-0.0059,-0.0027,-0.0057,0.0021,-0.0004,0.0,0.0025,0.0001,-0.5378,-0.4432,0.2733,-0.0403,0.0855
